Variable / Field Name,Form Name,Form Display Name,Section Header (defunct),Allow,multipleChoice,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,version
gad_title,overanxiousgad,Generalized Anxiety,,,,markdown-message,## Generalized Anxiety Disorder,,,,,,,,,,,,,,
cgad0,overanxiousgad,Generalized Anxiety,Content of Worry,,,markdown-message,"### Content of Worry\r\n\r\nEarlier, you told me that (insert endorsed symptoms from screener). I will first ask you about what you worried about during (that/these times).",,,,,,,,,,,,,,
dcgad001,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,"Did you worry a lot about things before they happened? (For example, did you worry about starting school in the fall, taking a test, or going to see a doctor?)","0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcgad001,,,
dcgad002,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,"Did you worry a lot about little things you've done in the past? (For example, did you worry about how well you behaved or whether you said or did the right thing?)","0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcgad001,,,
dcgad003,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,Did you worry a lot about how well you did your school work?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcgad001,,,
dcgad004,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,Did you worry a lot about how good you were in sports or dance or other activities?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcgad001,,,
dcgad005,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,Did you worry a lot about whether people liked you?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcgad001,,,
dcgad006,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,Did you worry a lot about what other people thought about you?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcgad001,,,
dcgad007,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,Did you often ask your parents or teachers if you're doing a good job or doing your work correctly?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcgad001,,,
dcgad008,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,"When you were uncomfortable with a situation, did you ask a lot of questions of your parents to try to make yourself feel better?","0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcgad001,,,
dcgad009,overanxiousgad,Generalized Anxiety,,,,notes,What other kinds of things did you worry about during (that/these times)?,,,,,,,,,LH,,,,,
cgad1,overanxiousgad,Generalized Anxiety,,,1,checkbox,_INTERVIEWER: Code content of worries in categories below._,"1, Being on time/keeping schedules | 2, Perfectionism/never making mistakes | 3, Being on time/keeping schedules | 4, Perfectionism/never making mistakes | 5, Health of self | 6, Health of others | 7, Family situations (divorce/finances/etc) | 8, Things going on in the world (war/terrorism/crime/floods/tornadoes/etc) | 9, Other",,,,,,,,,,,,,
dcgad017,overanxiousgad,Generalized Anxiety,,,,notes,Specify (Other),,,,,,,[cgad1].includes(8),,LH,,,,,
dcgad018,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,"Was it hard for you to stop yourself from worrying about this/these thing(s)? \r\n\r\n _INTERVIEWER: Code ""Yes"" if difficult to stop worrying about at least one of these things_","0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcgad018,,,
dcgad019,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,Do you think you worried too much or more than you should?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcgad018,,,
dcgad020,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,Did your parents or teachers think you worried too much?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcgad018,,,
dcgad021,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,Are you always like this?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcgad018,,,
dcgad022,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,"When these worries were the worst, how often did you have them?","1, Less than half the days | 2, About half the days | 3, Most days | 4, Every day | 9, Don't know",,,,,,[dcgad021] = 1,,LH,,,,,
cgad2,overanxiousgad,Generalized Anxiety,Symptoms,,,markdown-message,### Symptoms\r\n\r\nI just asked you about different worries that you have. Now I will ask you if you get any physical feelings in your body when you worry.,,,,,,,,,,,,,,
dcgad023,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,"When you were worrying about (list things mentioned), did you: \r\n\r\n Get headaches or stomachaches, lump in your throat or other physical problems even when you were not sick?","0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcgad023,,,
dcgad024,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,Feel like you had butterflies in your stomach a lot?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcgad023,,,
dcgad025,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,Have problems relaxing or feel very tense?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcgad023,,,
dcgad026,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,"Feel very restless or jumpy, like it was hard to sit still?","0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcgad023,,,
dcgad027,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,Get tired very easily?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcgad023,,,
dcgad028,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,Have trouble keeping your mind on things? \r\n\r\n _(Probe: Were you so nervous you couldn't concentrate?)_,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcgad023,,,
dcgad029,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,Find that your mind sometimes went blank?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcgad023,,,
dcgad030,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,"Feel more grouchy, irritable, or bothered even by little things?","0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcgad023,,,
dcgad031,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,Have tight muscles or feel achy?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcgad023,,,
dcgad032,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,Have trouble sleeping?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcgad023,,,
dcgad033,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,Feel tired when you woke up in the morning?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcgad023,,,
dcgad034,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,"If yes to symptoms, When these problems were the worst, how often did you have them?","1, Less than half the days | 2, About half the days | 3, Most days | 4, Every day | 9, Don't know",,,,,,[dcgad023] = 1 or [dcgad024] = 1 or [dcgad025] = 1 or [dcgad026] = 1 or [dcgad027] = 1 or [dcgad028] = 1 or [dcgad029] = 1 or [dcgad030] = 1 or [dcgad031] = 1 or [dcgad032] = 1 or [dcgad033] = 1,,LH,,,,,
dcgad035,overanxiousgad,Generalized Anxiety,Associated Conditions (Episode): Alcohol and Drugs,autoAdvance,,radio,### Associated Conditions (Episode): Alcohol and Drugs\r\n\r\nDid you have these worries only when you were using alcohol or drugs?,"0, Neither | 1, Alcohol | 2, Drugs | 3, Both | 9, Don't know",,,,,,,,LH,,,,,
dcgad036,overanxiousgad,Generalized Anxiety,Associated Conditions (Episode): Medical,autoAdvance,,radio,### Associated Conditions (Episode): Medical\r\n\r\nDid you have these worries only when you had a serious physical problem or illness?,"0, No | 1, Yes | 9, Unknown",,,,,,,,RH,,,,,
dcgad037,overanxiousgad,Generalized Anxiety,,,,notes,Specify (Problem/Illness),,,,,,,[dcgad036] = 1,,LH,,,,,
dcgad038,overanxiousgad,Generalized Anxiety,,autoAdvance,,radio,Did you have these worries only when you were using a specific kind of medicine that your doctor told you to take?,"0, No | 1, Yes | 9, Unknown",,,,,,,,RH,,,,,
dcgad039,overanxiousgad,Generalized Anxiety,,dontKnow,,text,Medication 1,,MEDICATION,,,,,[dcgad038] = 1,,,,,,,
dcgad040,overanxiousgad,Generalized Anxiety,,dontKnow,,text,Medication 2,,MEDICATION,,,,,[dcgad038] = 1,,,,,,,
